RecordID,Revenue,Net_Income,Total_Assets,Total_Liabilities,Equity,Industry_Sector,Country,Is_Fraud
1,73.25,24.33,384.83,344.25,40.58,Tech,US,0
2,289.7,32.6,780.75,408.96,371.79,Finance,UK,0
3,81.43,40.82,982.2,577.61,404.59,Manufacturing,US,0
4,190.25,17.3,935.82,710.47,225.34,Finance,Germany,0
5,153.92,11.96,835.67,608.84,226.83,Finance,Germany,0
6,4.79,-44.67,83.72,132.94,-128.15,Manufacturing,India,1
7,233.93,36.95,547.33,455.71,91.62,Tech,US,0
8,5.51,-90.94,82.05,93.22,-87.72,Manufacturing,Germany,1
9,211.83,40.82,767.54,482.7,284.84,Finance,Germany,0
10,53.0,46.13,680.21,612.03,68.18,Retail,Germany,0
11,276.1,46.62,263.71,198.1,65.61,Retail,US,0
12,60.25,38.3,562.24,346.92,215.32,Retail,UK,0
13,16.23,-3.39,55.43,93.27,-77.04,Manufacturing,Germany,1
14,285.14,38.79,927.38,503.76,423.62,Retail,Germany,0
15,108.74,12.06,544.52,310.1,234.42,Retail,UK,0
16,130.81,49.33,791.82,490.61,301.21,Retail,Germany,0
17,11.31,-49.0,28.16,56.55,-45.24,Finance,Germany,1
18,262.99,23.51,286.56,239.65,46.91,Manufacturing,Germany,0
19,270.89,24.36,574.6,409.59,165.02,Tech,Germany,0
20,259.89,23.56,429.57,350.5,79.07,Finance,US,0
21,2.65,-46.37,48.53,94.85,-92.2,Tech,Germany,1
22,125.0,5.14,828.28,646.14,182.14,Tech,Germany,0
23,84.36,40.85,514.53,323.65,190.88,Manufacturing,Germany,0
24,292.32,29.2,353.99,225.6,128.4,Finance,India,0
25,223.67,46.46,689.27,348.77,340.5,Manufacturing,Germany,0
26,287.54,41.08,415.21,340.72,74.49,Retail,Germany,0
27,17.27,-74.98,40.43,52.22,-34.95,Tech,India,1
28,180.42,32.42,671.64,396.64,275.0,Tech,Germany,0
29,189.48,17.41,295.67,218.99,76.68,Finance,Germany,0
30,174.09,44.12,281.99,170.53,111.46,Tech,Germany,0
31,19.64,-83.01,95.86,124.7,-105.06,Tech,US,1
32,211.18,16.9,739.71,536.98,202.73,Tech,Germany,0
33,12.68,-35.11,45.72,70.74,-58.06,Retail,UK,1
34,253.07,45.53,813.45,566.91,246.54,Manufacturing,US,0
35,105.33,29.88,609.04,374.42,234.62,Finance,UK,0
36,12.13,-19.36,11.81,55.16,-43.03,Finance,US,1
37,56.25,4.39,399.26,225.25,174.01,Tech,Germany,0
