credit_util_ratio,eps_basic,eps_diluted,avg_monthly_income,cash_and_equivalents,high_utilization_flag,defaulted
0.79,2.19,2.18,2826333.33,40760,0,0
0.85,1.50,1.48,1500000.00,12000,1,1
0.65,2.05,2.03,2100000.00,25000,0,0
0.92,1.10,1.09,900000.00,8000,1,1
0.70,2.30,2.28,2300000.00,35000,0,0
0.88,1.20,1.18,1200000.00,10000,1,1
0.60,2.50,2.48,2500000.00,50000,0,0
0.95,1.00,0.98,800000.00,7000,1,1
0.72,2.10,2.08,2100000.00,30000,0,0
0.81,1.40,1.38,1400000.00,11000,1,1
0.68,2.25,2.23,2250000.00,40000,0,0
0.90,1.15,1.13,1150000.00,9000,1,1
0.75,2.00,1.98,2000000.00,27000,0,0
0.87,1.30,1.28,1300000.00,9500,1,1
0.62,2.40,2.38,2400000.00,42000,0,0
